school_year,dfg,dfg_rank,period,ela_proficiency_mean,ela_proficiency_median,district_count,econ_disadvantaged_mean
2017-2018,A,1.0,Pre-COVID,31.681156156156156,28.77777777777778,37,70.0
2019-2020,A,1.0,COVID (no assessment),,,37,68.33783783783784
2020-2021,A,1.0,COVID (no assessment),,,37,60.270270270270274
2021-2022,A,1.0,Recovery,24.45405405405405,21.6,37,60.9972972972973
2022-2023,A,1.0,Recovery,25.70810810810811,24.1,37,66.63783783783784
2023-2024,A,1.0,Recovery,26.15945945945946,24.6,37,68.75405405405405
2017-2018,B,2.0,Pre-COVID,46.32478632478633,47.77777777777778,65,53.136923076923075
2019-2020,B,2.0,COVID (no assessment),,,65,52.95846153846154
2020-2021,B,2.0,COVID (no assessment),,,65,45.689230769230775
2021-2022,B,2.0,Recovery,36.175384615384615,34.1,65,45.46769230769231
2022-2023,B,2.0,Recovery,38.87538461538462,37.4,65,52.24153846153846
2023-2024,B,2.0,Recovery,39.76461538461538,38.3,65,54.15692307692307
2017-2018,CD,3.0,Pre-COVID,49.38533577533577,48.333333333333336,65,41.61692307692307
2019-2020,CD,3.0,COVID (no assessment),,,65,41.47230769230769
2020-2021,CD,3.0,COVID (no assessment),,,64,32.8640625
2021-2022,CD,3.0,Recovery,41.0140625,39.8,64,32.4078125
2022-2023,CD,3.0,Recovery,43.4578125,42.5,64,40.29375
2023-2024,CD,3.0,Recovery,43.4671875,43.55,64,42.9828125
2017-2018,DE,4.0,Pre-COVID,54.90630081300813,54.611111111111114,82,27.951219512195124
2019-2020,DE,4.0,COVID (no assessment),,,82,27.79268292682927
2020-2021,DE,4.0,COVID (no assessment),,,82,22.88170731707317
2021-2022,DE,4.0,Recovery,47.21341463414634,47.15,82,22.192682926829267
2022-2023,DE,4.0,Recovery,49.514634146341464,50.2,82,28.595121951219515
2023-2024,DE,4.0,Recovery,50.75487804878048,50.2,82,30.259756097560977
2017-2018,FG,5.0,Pre-COVID,62.32683080808081,61.1,88,18.401149425287358
2019-2020,FG,5.0,COVID (no assessment),,,88,17.97840909090909
2020-2021,FG,5.0,COVID (no assessment),,,88,13.827272727272726
2021-2022,FG,5.0,Recovery,54.63977272727273,54.400000000000006,88,13.498863636363637
2022-2023,FG,5.0,Recovery,56.28409090909091,56.8,88,18.244318181818183
2023-2024,FG,5.0,Recovery,57.304545454545455,58.650000000000006,88,19.645454545454545
2017-2018,GH,6.0,Pre-COVID,65.29490106544901,67.0,73,13.327397260273973
2019-2020,GH,6.0,COVID (no assessment),,,73,12.998630136986302
2020-2021,GH,6.0,COVID (no assessment),,,73,10.378082191780821
2021-2022,GH,6.0,Recovery,59.07808219178082,58.8,73,10.419178082191781
2022-2023,GH,6.0,Recovery,60.978082191780814,60.8,73,13.638356164383563
2023-2024,GH,6.0,Recovery,62.175342465753424,62.2,73,14.423287671232877
2017-2018,I,7.0,Pre-COVID,74.37319309600863,74.33333333333333,103,4.825242718446602
2019-2020,I,7.0,COVID (no assessment),,,103,4.871844660194175
2020-2021,I,7.0,COVID (no assessment),,,103,3.9097087378640776
2021-2022,I,7.0,Recovery,69.85922330097087,69.8,103,4.036893203883495
2022-2023,I,7.0,Recovery,72.5631067961165,72.2,103,5.349514563106796
2023-2024,I,7.0,Recovery,72.70194174757282,73.0,103,5.806796116504855
2017-2018,J,8.0,Pre-COVID,82.03666666666666,84.66666666666667,25,1.5919999999999999
2019-2020,J,8.0,COVID (no assessment),,,25,1.588
2020-2021,J,8.0,COVID (no assessment),,,25,1.296
2021-2022,J,8.0,Recovery,81.62,82.0,25,1.44
2022-2023,J,8.0,Recovery,82.848,82.3,25,1.74
2023-2024,J,8.0,Recovery,83.39200000000001,83.9,25,2.056
