school_year,county_code,district_code,district_name,ela_proficiency_pct,econ_disadvantaged_pct,dfg,dfg_rank,period
2017-2018,01,0010,ABSECON CITY,54.166666666666664,46.3,CD,3.0,Pre-COVID
2019-2020,01,0010,Absecon Public Schools District,,46.8,CD,3.0,COVID (no assessment)
2020-2021,01,0010,Absecon Public Schools District,,39.8,CD,3.0,COVID (no assessment)
2021-2022,01,0010,Absecon Public Schools District,37.7,39.9,CD,3.0,Recovery
2022-2023,01,0010,Absecon Public Schools District,47.4,49.4,CD,3.0,Recovery
2023-2024,01,0010,Absecon Public Schools District,49.1,47.5,CD,3.0,Recovery
2017-2018,19,0020,ALEXANDRIA TWP,65.33333333333333,6.9,GH,6.0,Pre-COVID
2019-2020,19,0020,Alexandria Township School District,,5.4,GH,6.0,COVID (no assessment)
2020-2021,19,0020,Alexandria Township School District,,6.5,GH,6.0,COVID (no assessment)
2021-2022,19,0020,Alexandria Township School District,50.7,5.6,GH,6.0,Recovery
2022-2023,19,0020,Alexandria Township School District,55.9,1.6,GH,6.0,Recovery
2023-2024,19,0020,Alexandria Township School District,56.3,1.6,GH,6.0,Recovery
2017-2018,41,0030,ALLAMUCHY TWP,53.833333333333336,7.3,I,7.0,Pre-COVID
2019-2020,41,0030,Allamuchy Township School District,,8.8,I,7.0,COVID (no assessment)
2020-2021,41,0030,Allamuchy Township School District,,5.6,I,7.0,COVID (no assessment)
2021-2022,41,0030,Allamuchy Township School District,36.5,5.9,I,7.0,Recovery
2022-2023,41,0030,Allamuchy Township School District,45.3,7.9,I,7.0,Recovery
2023-2024,41,0030,Allamuchy Township School District,48.9,9.9,I,7.0,Recovery
2017-2018,03,0040,ALLENDALE BORO,89.66666666666667,0.6,I,7.0,Pre-COVID
2019-2020,03,0040,Allendale Public School District,,1.0,I,7.0,COVID (no assessment)
2020-2021,03,0040,Allendale Public School District,,0.7,I,7.0,COVID (no assessment)
2021-2022,03,0040,Allendale Public School District,85.5,1.6,I,7.0,Recovery
2022-2023,03,0040,Allendale Public School District,87.4,2.1,I,7.0,Recovery
2023-2024,03,0040,Allendale Public School District,83.8,2.2,I,7.0,Recovery
2017-2018,33,0060,ALLOWAY TWP,58.333333333333336,15.0,DE,4.0,Pre-COVID
2019-2020,33,0060,Alloway Twp School District,,14.4,DE,4.0,COVID (no assessment)
2020-2021,33,0060,Alloway Twp School District,,13.2,DE,4.0,COVID (no assessment)
2021-2022,33,0060,Alloway Twp School District,36.8,14.3,DE,4.0,Recovery
2022-2023,33,0060,Alloway Twp School District,42.2,14.1,DE,4.0,Recovery
2023-2024,33,0060,Alloway Twp School District,49.7,15.0,DE,4.0,Recovery
2017-2018,41,0070,ALPHA BORO,56.166666666666664,35.5,B,2.0,Pre-COVID
2019-2020,41,0070,Alpha Borough School District,,45.1,B,2.0,COVID (no assessment)
2020-2021,41,0070,Alpha Borough School District,,30.4,B,2.0,COVID (no assessment)
2021-2022,41,0070,Alpha Borough School District,46.6,27.2,B,2.0,Recovery
2022-2023,41,0070,Alpha Borough School District,46.7,28.2,B,2.0,Recovery
2023-2024,41,0070,Alpha Borough School District,48.6,36.6,B,2.0,Recovery
2017-2018,03,0080,ALPINE BORO,92.0,0.0,I,7.0,Pre-COVID
2019-2020,03,0080,Alpine School District,,0.0,I,7.0,COVID (no assessment)
2020-2021,03,0080,Alpine School District,,0.0,I,7.0,COVID (no assessment)
2021-2022,03,0080,Alpine School District,90.1,0.0,I,7.0,Recovery
2022-2023,03,0080,Alpine Public School District,84.5,0.0,I,7.0,Recovery
2023-2024,03,0080,Alpine Public School District,87.5,0.0,I,7.0,Recovery
2017-2018,37,0090,ANDOVER REG,52.0,12.9,FG,5.0,Pre-COVID
2019-2020,37,0090,Andover Regional School District,,13.5,FG,5.0,COVID (no assessment)
2020-2021,37,0090,Andover Regional School District,,11.4,FG,5.0,COVID (no assessment)
2021-2022,37,0090,Andover Regional School District,56.4,8.7,FG,5.0,Recovery
2022-2023,37,0090,Andover Regional School District,66.4,17.2,FG,5.0,Recovery
2023-2024,37,0090,Andover Regional School District,74.0,19.6,FG,5.0,Recovery
2017-2018,25,0100,ASBURY PARK CITY,17.0,50.0,A,1.0,Pre-COVID
2019-2020,25,0100,Asbury Park School District,,60.9,A,1.0,COVID (no assessment)
2020-2021,25,0100,Asbury Park School District,,50.3,A,1.0,COVID (no assessment)
2021-2022,25,0100,Asbury Park School District,12.5,51.5,A,1.0,Recovery
2022-2023,25,0100,Asbury Park School District,12.5,38.8,A,1.0,Recovery
2023-2024,25,0100,Asbury Park School District,14.5,69.3,A,1.0,Recovery
2017-2018,01,0110,ATLANTIC CITY,29.22222222222222,92.6,A,1.0,Pre-COVID
2019-2020,01,0110,Atlantic City School District,,89.4,A,1.0,COVID (no assessment)
2020-2021,01,0110,Atlantic City School District,,89.1,A,1.0,COVID (no assessment)
2021-2022,01,0110,Atlantic City School District,25.6,84.3,A,1.0,Recovery
2022-2023,01,0110,Atlantic City School District,29.2,87.1,A,1.0,Recovery
2023-2024,01,0110,Atlantic City School District,33.2,83.5,A,1.0,Recovery
2017-2018,01,0120,ATLANTIC CO VOCATIONAL,48.666666666666664,61.9,,,Pre-COVID
2019-2020,01,0120,Atlantic County Vocational School District,,58.4,,,COVID (no assessment)
2020-2021,01,0120,Atlantic County Vocational School District,,54.0,,,COVID (no assessment)
2021-2022,01,0120,Atlantic County Vocational School District,48.2,39.8,,,Recovery
2022-2023,01,0120,Atlantic County Vocational School District,51.9,53.8,,,Recovery
2023-2024,01,0120,Atlantic County Vocational School District,57.8,54.9,,,Recovery
2019-2020,01,0125,Atlantic County Special Services School District,,37.7,,,COVID (no assessment)
2020-2021,01,0125,Atlantic County Special Services School District,,44.6,,,COVID (no assessment)
2017-2018,25,0130,ATLANTIC HIGHLANDS BORO,77.25,9.5,GH,6.0,Pre-COVID
2019-2020,25,0130,Atlantic Highlands School District,,7.0,GH,6.0,COVID (no assessment)
2020-2021,25,0130,Atlantic Highlands School District,,5.5,GH,6.0,COVID (no assessment)
2021-2022,25,0130,Atlantic Highlands School District,72.3,4.9,GH,6.0,Recovery
2022-2023,25,0130,Atlantic Highlands School District,63.4,12.4,GH,6.0,Recovery
2023-2024,25,0130,Atlantic Highlands School District,56.3,14.4,GH,6.0,Recovery
2017-2018,07,0150,AUDUBON BORO,52.22222222222222,22.7,DE,4.0,Pre-COVID
2019-2020,07,0150,Audubon Public School District,,20.3,DE,4.0,COVID (no assessment)
2020-2021,07,0150,Audubon Public School District,,16.1,DE,4.0,COVID (no assessment)
2021-2022,07,0150,Audubon Public School District,60.7,17.6,DE,4.0,Recovery
2022-2023,07,0150,Audubon Public School District,60.8,20.3,DE,4.0,Recovery
2023-2024,07,0150,Audubon Public School District,61.6,19.7,DE,4.0,Recovery
2017-2018,09,0170,AVALON BORO,80.0,0.0,FG,5.0,Pre-COVID
2019-2020,09,0170,Avalon School District,,0.0,FG,5.0,COVID (no assessment)
2020-2021,09,0170,Avalon School District,,0.0,FG,5.0,COVID (no assessment)
2021-2022,09,0170,Avalon School District,89.1,0.0,FG,5.0,Recovery
2022-2023,09,0170,Avalon School District,80.4,0.0,FG,5.0,Recovery
2023-2024,09,0170,Avalon School District,78.8,0.0,FG,5.0,Recovery
2017-2018,25,0180,AVON BORO,77.66666666666667,13.6,I,7.0,Pre-COVID
2019-2020,25,0180,Avon Boro School District,,9.8,I,7.0,COVID (no assessment)
2020-2021,25,0180,Avon Boro School District,,3.9,I,7.0,COVID (no assessment)
2021-2022,25,0180,Avon Boro School District,78.6,5.6,I,7.0,Recovery
2022-2023,25,0180,Avon Boro School District,84.4,14.6,I,7.0,Recovery
2023-2024,25,0180,Avon Boro School District,74.2,12.0,I,7.0,Recovery
2017-2018,29,0185,BARNEGAT TWP,51.0,33.6,CD,3.0,Pre-COVID
2019-2020,29,0185,Barnegat Township School District,,35.6,CD,3.0,COVID (no assessment)
2020-2021,29,0185,Barnegat Township School District,,30.8,CD,3.0,COVID (no assessment)
2021-2022,29,0185,Barnegat Township School District,45.1,28.0,CD,3.0,Recovery
2022-2023,29,0185,Barnegat Township School District,44.3,36.1,CD,3.0,Recovery
2023-2024,29,0185,Barnegat Township School District,44.4,36.0,CD,3.0,Recovery
2017-2018,07,0190,BARRINGTON BORO,55.666666666666664,23.4,FG,5.0,Pre-COVID
2019-2020,07,0190,Barrington School District,,25.4,FG,5.0,COVID (no assessment)
2020-2021,07,0190,Barrington School District,,19.1,FG,5.0,COVID (no assessment)
2021-2022,07,0190,Barrington School District,45.7,16.2,FG,5.0,Recovery
2022-2023,07,0190,Barrington School District,47.2,25.9,FG,5.0,Recovery
2023-2024,07,0190,Barrington School District,51.7,35.5,FG,5.0,Recovery
2017-2018,05,0200,BASS RIVER TWP,43.25,34.5,CD,3.0,Pre-COVID
2019-2020,05,0200,Bass River Township Board of Education,,37.6,CD,3.0,COVID (no assessment)
2017-2018,29,0210,BAY HEAD BORO,81.2,0.0,I,7.0,Pre-COVID
2019-2020,29,0210,Bay Head Borough School District,,0.0,I,7.0,COVID (no assessment)
2020-2021,29,0210,Bay Head Borough School District,,0.0,I,7.0,COVID (no assessment)
2021-2022,29,0210,Bay Head Borough School District,66.7,0.0,I,7.0,Recovery
2022-2023,29,0210,Bay Head Borough School District,85.2,0.0,I,7.0,Recovery
2023-2024,29,0210,Bay Head Borough School District,70.1,0.0,I,7.0,Recovery
2017-2018,17,0220,BAYONNE CITY,56.888888888888886,56.8,CD,3.0,Pre-COVID
2019-2020,17,0220,Bayonne School District,,57.2,CD,3.0,COVID (no assessment)
2020-2021,17,0220,Bayonne School District,,52.9,CD,3.0,COVID (no assessment)
2021-2022,17,0220,Bayonne School District,45.2,49.4,CD,3.0,Recovery
2022-2023,17,0220,Bayonne School District,52.2,55.5,CD,3.0,Recovery
2023-2024,17,0220,Bayonne School District,52.1,58.3,CD,3.0,Recovery
2019-2020,25,0225,Bayshore Jointure Commission School District,,14.3,,,COVID (no assessment)
2020-2021,25,0225,Bayshore Jointure Commission School District,,14.3,,,COVID (no assessment)
2017-2018,29,0230,BEACH HAVEN BORO,67.0,,FG,5.0,Pre-COVID
2019-2020,29,0230,Beach Haven School District,,0.0,FG,5.0,COVID (no assessment)
2020-2021,29,0230,Beach Haven School District,,0.0,FG,5.0,COVID (no assessment)
2021-2022,29,0230,Beach Haven School District,65.0,0.0,FG,5.0,Recovery
2022-2023,29,0230,Beach Haven School District,60.0,0.0,FG,5.0,Recovery
2023-2024,29,0230,Beach Haven School District,51.5,0.0,FG,5.0,Recovery
2017-2018,35,0240,BEDMINSTER TWP,74.33333333333333,8.4,I,7.0,Pre-COVID
2019-2020,35,0240,Bedminster Township Public School District,,11.3,I,7.0,COVID (no assessment)
2020-2021,35,0240,Bedminster Township Public School District,,4.5,I,7.0,COVID (no assessment)
2021-2022,35,0240,Bedminster Township Public School District,65.8,6.0,I,7.0,Recovery
2022-2023,35,0240,Bedminster Township Public School District,69.2,9.4,I,7.0,Recovery
2023-2024,35,0240,Bedminster Township Public School District,69.3,9.6,I,7.0,Recovery
2017-2018,13,0250,BELLEVILLE TOWN,45.44444444444444,56.0,CD,3.0,Pre-COVID
2019-2020,13,0250,Belleville Public School District,,56.1,CD,3.0,COVID (no assessment)
2020-2021,13,0250,Belleville Public School District,,40.8,CD,3.0,COVID (no assessment)
2021-2022,13,0250,Belleville Public School District,40.2,45.9,CD,3.0,Recovery
2022-2023,13,0250,Belleville Public School District,39.3,56.8,CD,3.0,Recovery
2023-2024,13,0250,Belleville Public School District,40.3,63.6,CD,3.0,Recovery
2017-2018,07,0260,BELLMAWR BORO,53.5,49.0,B,2.0,Pre-COVID
2019-2020,07,0260,Bellmawr Public School District,,44.7,B,2.0,COVID (no assessment)
2020-2021,07,0260,Bellmawr Public School District,,32.6,B,2.0,COVID (no assessment)
2021-2022,07,0260,Bellmawr Public School District,52.4,30.2,B,2.0,Recovery
2022-2023,07,0260,Bellmawr Public School District,57.0,43.9,B,2.0,Recovery
