district_code,district_name,ela_pre,econ_disadvantaged,dfg,dfg_rank,ela_post,recovery_change,below_goal_2024,gap_to_goal
0010,ABSECON CITY,54.166666666666664,46.3,CD,3.0,49.1,-5.066666666666663,True,30.9
0020,ALEXANDRIA TWP,65.33333333333333,6.9,GH,6.0,56.3,-9.033333333333331,True,23.700000000000003
0030,ALLAMUCHY TWP,53.833333333333336,7.3,I,7.0,48.9,-4.933333333333337,True,31.1
0040,ALLENDALE BORO,89.66666666666667,0.6,I,7.0,83.8,-5.866666666666674,False,-3.799999999999997
0060,ALLOWAY TWP,58.333333333333336,15.0,DE,4.0,49.7,-8.633333333333333,True,30.299999999999997
0070,ALPHA BORO,56.166666666666664,35.5,B,2.0,48.6,-7.566666666666663,True,31.4
0080,ALPINE BORO,92.0,0.0,I,7.0,87.5,-4.5,False,-7.5
0090,ANDOVER REG,52.0,12.9,FG,5.0,74.0,22.0,True,6.0
0100,ASBURY PARK CITY,17.0,50.0,A,1.0,14.5,-2.5,True,65.5
0110,ATLANTIC CITY,29.22222222222222,92.6,A,1.0,33.2,3.9777777777777814,True,46.8
0130,ATLANTIC HIGHLANDS BORO,77.25,9.5,GH,6.0,56.3,-20.950000000000003,True,23.700000000000003
0150,AUDUBON BORO,52.22222222222222,22.7,DE,4.0,61.6,9.37777777777778,True,18.4
0170,AVALON BORO,80.0,0.0,FG,5.0,78.8,-1.2000000000000028,True,1.2000000000000028
0180,AVON BORO,77.66666666666667,13.6,I,7.0,74.2,-3.4666666666666686,True,5.799999999999997
0185,BARNEGAT TWP,51.0,33.6,CD,3.0,44.4,-6.600000000000001,True,35.6
0190,BARRINGTON BORO,55.666666666666664,23.4,FG,5.0,51.7,-3.9666666666666615,True,28.299999999999997
0210,BAY HEAD BORO,81.2,0.0,I,7.0,70.1,-11.100000000000009,True,9.900000000000006
0220,BAYONNE CITY,56.888888888888886,56.8,CD,3.0,52.1,-4.788888888888884,True,27.9
0240,BEDMINSTER TWP,74.33333333333333,8.4,I,7.0,69.3,-5.033333333333331,True,10.700000000000003
0250,BELLEVILLE TOWN,45.44444444444444,56.0,CD,3.0,40.3,-5.144444444444446,True,39.7
0260,BELLMAWR BORO,53.5,49.0,B,2.0,58.1,4.600000000000001,True,21.9
0270,BELMAR BORO,59.166666666666664,59.1,DE,4.0,58.8,-0.36666666666666714,True,21.200000000000003
0280,BELVIDERE TOWN,44.0,14.9,DE,4.0,26.9,-17.1,True,53.1
0300,BERGENFIELD BORO,67.0,35.9,FG,5.0,63.0,-4.0,True,17.0
0310,BERKELEY HEIGHTS TWP,69.88888888888889,1.8,I,7.0,76.0,6.111111111111114,True,4.0
0320,BERKELEY TWP,50.5,33.7,B,2.0,42.9,-7.600000000000001,True,37.1
0330,BERLIN BORO,59.833333333333336,15.8,DE,4.0,55.5,-4.333333333333336,True,24.5
0340,BERLIN TWP,54.0,9.8,CD,3.0,40.8,-13.200000000000003,True,39.2
0350,BERNARDS TWP,79.11111111111111,1.5,J,8.0,83.9,4.788888888888891,False,-3.9000000000000057
0370,BETHLEHEM TWP,71.66666666666667,4.5,I,7.0,49.6,-22.06666666666667,True,30.4
0380,BEVERLY CITY,53.833333333333336,40.5,B,2.0,45.5,-8.333333333333336,True,34.5
0390,BLACK HORSE PIKE REGIONAL,36.0,32.4,DE,4.0,44.0,8.0,True,36.0
0400,BLAIRSTOWN TWP,50.25,17.6,FG,5.0,38.8,-11.450000000000003,True,41.2
